Datum ;Zeit ;AT [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Status;PE1 FehlerStatus;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 Analog1[mV];PE1 Analog2[mV];PE1 DigIn1;PE1 DigIn2;PE1 Kask BR;PE1 Kask BR;PE1 Kask BR;PE1 Kask BR;Fehler1 ;Fehler2 ;Fehler3 ;
26.11.2015;00:03:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,6;8,0;0;58,0;8,0;0,00;0,00;0;0;53,5;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:04:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,1;29,1;25,0;0;54,5;8,0;0;57,8;8,0;0,00;0,00;0;0;53,8;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,1;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:05:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,5;8,0;0;57,7;8,0;0,00;0,00;0;0;53,5;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:06:03;-20,0;0;0,0;8,0;17,9;8,0;1;29,0;29,0;25,0;0;54,5;8,0;0;57,6;8,0;0,00;0,00;0;0;54,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:07:03;-20,0;0;0,0;8,0;17,9;8,0;1;29,0;29,0;25,0;0;54,4;8,0;0;57,6;8,0;0,00;0,00;0;0;53,7;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:08:03;-20,0;0;0,0;8,0;17,9;8,0;1;29,0;29,0;25,0;0;54,4;8,0;0;57,5;8,0;0,00;0,00;0;0;54,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:09:03;-20,0;0;0,0;8,0;17,9;8,0;1;29,0;29,0;25,0;0;54,4;8,0;0;57,4;8,0;0,00;0,00;0;0;54,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:10:03;-20,0;0;0,0;8,0;17,9;8,0;1;29,0;29,0;25,0;0;54,3;8,0;0;57,4;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:11:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,3;8,0;0;57,4;8,0;0,00;0,00;0;0;53,9;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:12:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,3;8,0;0;57,2;8,0;0,00;0,00;0;0;56,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:13:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,2;8,0;0;57,2;8,0;0,00;0,00;0;0;55,5;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:14:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,2;8,0;0;57,1;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:15:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,1;8,0;0;57,0;8,0;0,00;0,00;0;0;54,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:16:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,1;8,0;0;57,0;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:17:03;-20,0;0;0,0;8,0;17,9;8,0;0;29,0;29,0;25,0;0;54,1;8,0;0;57,0;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;29,0;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:18:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;54,0;8,0;0;56,9;8,0;0,00;0,00;0;0;53,7;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:19:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;54,0;8,0;0;56,9;8,0;0,00;0,00;0;0;53,7;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:20:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;54,0;8,0;0;56,9;8,0;0,00;0,00;0;0;53,9;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:21:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;53,9;8,0;0;56,7;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:22:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;53,9;8,0;0;56,7;8,0;0,00;0,00;0;0;54,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:23:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;53,9;8,0;0;56,6;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:24:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;53,9;8,0;0;56,6;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:25:03;-20,0;0;0,0;8,0;17,9;8,0;0;28,9;28,9;25,0;0;53,8;8,0;0;56,5;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,4;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:26:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,8;8,0;0;56,5;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:27:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,8;8,0;0;56,5;8,0;0,00;0,00;0;0;53,5;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:28:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,7;8,0;0;56,4;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:29:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,7;8,0;0;56,5;8,0;0,00;0,00;0;0;53,8;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:30:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,7;8,0;0;56,4;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:31:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,6;8,0;0;56,3;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:32:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,9;28,9;25,0;0;53,6;8,0;0;56,3;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,9;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:33:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,6;8,0;0;56,2;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:34:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,5;8,0;0;56,2;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:35:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,5;8,0;0;56,2;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:36:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,5;8,0;0;56,1;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:37:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,4;8,0;0;56,1;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:38:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,4;8,0;0;56,1;8,0;0,00;0,00;0;0;53,5;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:39:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,4;8,0;0;56,1;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:40:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,4;8,0;0;56,1;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:41:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,3;8,0;0;55,9;8,0;0,00;0,00;0;0;53,5;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:42:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,3;8,0;0;56,0;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:43:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,3;8,0;0;55,9;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:44:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,2;8,0;0;55,8;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:45:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,2;8,0;0;55,8;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:46:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,2;8,0;0;55,7;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:47:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,8;28,8;25,0;0;53,1;8,0;0;55,7;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,8;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:48:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,7;28,7;25,0;0;53,1;8,0;0;55,7;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:49:03;-20,0;0;0,0;8,0;17,7;8,0;0;28,7;28,7;25,0;0;53,1;8,0;0;55,7;8,0;0,00;0,00;0;0;52,7;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,3;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:50:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;53,0;8,0;0;55,6;8,0;0,00;0,00;0;0;52,9;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:51:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;53,0;8,0;0;55,6;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:52:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,9;8,0;0;55,4;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:53:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,9;8,0;0;55,4;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:54:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,9;8,0;0;55,4;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:55:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,8;8,0;0;55,4;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:56:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,8;8,0;0;55,3;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:57:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,8;8,0;0;55,4;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:58:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,8;8,0;0;55,3;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;00:59:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,7;8,0;0;55,3;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:00:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,7;8,0;0;55,2;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:01:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,7;8,0;0;55,2;8,0;0,00;0,00;0;0;53,3;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:02:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,6;8,0;0;55,1;8,0;0,00;0,00;0;0;53,4;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:03:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,7;28,7;25,0;0;52,6;8,0;0;55,1;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,7;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:04:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,6;8,0;0;55,1;8,0;0,00;0,00;0;0;53,6;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:05:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,5;8,0;0;55,0;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:06:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,5;8,0;0;55,0;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:07:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,5;8,0;0;55,0;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:08:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,4;8,0;0;55,0;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:09:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,4;8,0;0;55,0;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:10:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,4;8,0;0;54,9;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:11:03;-20,0;0;0,0;8,0;17,4;8,0;1;28,6;28,6;25,0;0;52,3;8,0;0;54,9;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:12:03;-20,0;0;0,0;8,0;17,4;8,0;1;28,6;28,6;25,0;0;52,3;8,0;0;54,8;8,0;0,00;0,00;0;0;53,2;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:13:03;-20,0;0;0,0;8,0;17,4;8,0;1;28,6;28,6;25,0;0;52,3;8,0;0;54,8;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:14:03;-20,0;0;0,0;8,0;17,4;8,0;1;28,6;28,6;25,0;0;52,3;8,0;0;54,7;8,0;0,00;0,00;0;0;52,9;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:15:03;-20,0;0;0,0;8,0;17,4;8,0;1;28,6;28,6;25,0;0;52,2;8,0;0;54,7;8,0;0,00;0,00;0;0;52,9;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
26.11.2015;01:16:03;-20,0;0;0,0;8,0;17,4;8,0;0;28,6;28,6;25,0;0;52,2;8,0;0;54,7;8,0;0,00;0,00;0;0;53,1;80,0;99;99;0;0;0;0;0;0;0;0;0;0;0;55,2;28,6;0;0;0;175;3276,6;3276,6;0;0;0;0;0;0;0;0;0;
